date,name,ticker,current_price,intrinsic_value,value_gap_percent,stop_loss,profit_target,risk_reward,action,valuation_signal
2025-05-05,Apple Inc.,AAPL,$199.41,$119.23,-40.2%,$189.43,$209.38,1.00,SELL,Overvalued (Strong Sell) - 40.2% above intrinsic value
2025-05-05,Microsoft Corporation,MSFT,$438.80,$144.13,-67.2%,$416.86,$460.73,1.00,SELL,Overvalued (Strong Sell) - 67.2% above intrinsic value
2025-05-05,Alphabet Inc.,GOOGL,$164.75,$207.61,26.0%,$148.27,$214.17,3.00,BUY,Undervalued (Strong Buy) - 26.0% below intrinsic value
2025-05-05,"Amazon.com, Inc.",AMZN,$187.46,$66.21,-64.7%,$178.08,$196.83,1.00,SELL,Overvalued (Strong Sell) - 64.7% above intrinsic value
2025-05-05,"Meta Platforms, Inc.",META,$600.90,$473.35,-21.2%,$570.85,$630.95,1.00,SELL,Overvalued (Strong Sell) - 21.2% above intrinsic value
2025-05-05,NVIDIA Corporation,NVDA,$113.89,$55.71,-51.1%,$108.20,$119.58,1.00,SELL,Overvalued (Strong Sell) - 51.1% above intrinsic value
2025-05-05,"Tesla, Inc.",TSLA,$277.71,$20.42,-92.6%,$263.82,$291.60,1.00,SELL,Overvalued (Strong Sell) - 92.6% above intrinsic value
2025-05-05,Visa Inc.,V,$350.05,$232.06,-33.7%,$332.54,$367.55,1.00,SELL,Overvalued (Strong Sell) - 33.7% above intrinsic value
2025-05-05,Walmart Inc.,WMT,$99.53,$31.98,-67.9%,$94.55,$104.51,1.00,SELL,Overvalued (Strong Sell) - 67.9% above intrinsic value
2025-05-05,Johnson & Johnson,JNJ,$155.26,$174.80,12.6%,$139.73,$192.29,2.38,BUY,Fairly valued (Hold) - 12.6% from intrinsic value
2025-05-05,The Procter & Gamble Company,PG,$159.18,$164.14,3.1%,$143.26,$180.56,1.34,BUY,Fairly valued (Hold) - 3.1% from intrinsic value
2025-05-05,The Coca-Cola Company,KO,$71.64,$26.79,-62.6%,$68.05,$75.22,1.00,SELL,Overvalued (Strong Sell) - 62.6% above intrinsic value
2025-05-05,The Walt Disney Company,DIS,$92.73,$88.91,-4.1%,$88.09,$97.37,1.00,SELL,Fairly valued (Hold) - 4.1% from intrinsic value
2025-05-05,"Netflix, Inc.",NFLX,$1143.81,$300.54,-73.7%,$1086.62,$1201.00,1.00,SELL,Overvalued (Strong Sell) - 73.7% above intrinsic value
2025-05-05,Adobe Inc.,ADBE,$383.05,$355.25,-7.3%,$363.90,$402.20,1.00,SELL,Fairly valued (Hold) - 7.3% from intrinsic value
2025-05-05,"Cisco Systems, Inc.",CSCO,$59.45,$49.70,-16.4%,$56.48,$62.43,1.00,SELL,Fairly valued (Hold) - 16.4% from intrinsic value
2025-05-05,Intel Corporation,INTC,$20.39,$-62.01,-404.2%,$19.37,$21.40,1.00,SELL,Overvalued (Strong Sell) - 404.2% above intrinsic value
2025-05-05,"The Home Depot, Inc.",HD,$363.48,$346.40,-4.7%,$345.31,$381.65,1.00,SELL,Fairly valued (Hold) - 4.7% from intrinsic value
2025-05-05,"Salesforce, Inc.",CRM,$275.37,$247.46,-10.1%,$261.60,$289.14,1.00,SELL,Fairly valued (Hold) - 10.1% from intrinsic value
2025-05-05,Mastercard Incorporated,MA,$562.84,$333.39,-40.8%,$534.70,$590.98,1.00,SELL,Overvalued (Strong Sell) - 40.8% above intrinsic value
2025-05-05,"PepsiCo, Inc.",PEP,$132.94,$127.55,-4.1%,$126.30,$139.59,1.00,SELL,Fairly valued (Hold) - 4.1% from intrinsic value
2025-05-05,UnitedHealth Group Incorporated,UNH,$408.58,$500.44,22.5%,$367.72,$531.15,3.00,BUY,Undervalued (Strong Buy) - 22.5% below intrinsic value
