date,name,ticker,current_price,intrinsic_value,value_gap_percent,stop_loss,profit_target,risk_reward,action,valuation_signal
2026-01-12,Apple Inc.,AAPL,$260.20,$109.98,-57.7%,$247.19,$273.22,1.00,SELL,Overvalued (Strong Sell) - 57.7% above intrinsic value
2026-01-12,Microsoft Corporation,MSFT,$479.36,$139.34,-70.9%,$455.39,$503.33,1.00,SELL,Overvalued (Strong Sell) - 70.9% above intrinsic value
2026-01-12,Alphabet Inc.,GOOGL,$329.33,$207.68,-36.9%,$312.86,$345.80,1.00,SELL,Overvalued (Strong Sell) - 36.9% above intrinsic value
2026-01-12,"Amazon.com, Inc.",AMZN,$247.56,$65.76,-73.4%,$235.18,$259.93,1.00,SELL,Overvalued (Strong Sell) - 73.4% above intrinsic value
2026-01-12,"Meta Platforms, Inc.",META,$647.91,$474.09,-26.8%,$615.51,$680.30,1.00,SELL,Overvalued (Strong Sell) - 26.8% above intrinsic value
2026-01-12,NVIDIA Corporation,NVDA,$184.91,$55.93,-69.8%,$175.66,$194.16,1.00,SELL,Overvalued (Strong Sell) - 69.8% above intrinsic value
2026-01-12,"Tesla, Inc.",TSLA,$448.31,$19.78,-95.6%,$425.89,$470.73,1.00,SELL,Overvalued (Strong Sell) - 95.6% above intrinsic value
2026-01-12,Visa Inc.,V,$345.40,$271.86,-21.3%,$328.13,$362.67,1.00,SELL,Overvalued (Strong Sell) - 21.3% above intrinsic value
2026-01-12,Walmart Inc.,WMT,$118.39,$32.11,-72.9%,$112.48,$124.31,1.00,SELL,Overvalued (Strong Sell) - 72.9% above intrinsic value
2026-01-12,Johnson & Johnson,JNJ,$206.95,$174.57,-15.6%,$196.60,$217.30,1.00,SELL,Fairly valued (Hold) - 15.6% from intrinsic value
2026-01-12,The Procter & Gamble Company,PG,$143.46,$139.97,-2.4%,$136.29,$150.63,1.00,SELL,Fairly valued (Hold) - 2.4% from intrinsic value
2026-01-12,The Coca-Cola Company,KO,$70.44,$26.81,-61.9%,$66.92,$73.97,1.00,SELL,Overvalued (Strong Sell) - 61.9% above intrinsic value
2026-01-12,The Walt Disney Company,DIS,$114.12,$106.00,-7.1%,$108.42,$119.83,1.00,SELL,Fairly valued (Hold) - 7.1% from intrinsic value
2026-01-12,"Netflix, Inc.",NFLX,$90.03,$30.18,-66.5%,$85.53,$94.54,1.00,SELL,Overvalued (Strong Sell) - 66.5% above intrinsic value
2026-01-12,Adobe Inc.,ADBE,$329.17,$361.70,9.9%,$296.25,$397.87,2.09,BUY,Fairly valued (Hold) - 9.9% from intrinsic value
2026-01-12,"Cisco Systems, Inc.",CSCO,$73.61,$65.13,-11.5%,$69.92,$77.29,1.00,SELL,Fairly valued (Hold) - 11.5% from intrinsic value
2026-01-12,Intel Corporation,INTC,$44.88,$-56.70,-226.4%,$42.63,$47.12,1.00,SELL,Overvalued (Strong Sell) - 226.4% above intrinsic value
2026-01-12,"The Home Depot, Inc.",HD,$376.00,$345.85,-8.0%,$357.20,$394.80,1.00,SELL,Fairly valued (Hold) - 8.0% from intrinsic value
2026-01-12,"Salesforce, Inc.",CRM,$260.52,$253.39,-2.7%,$247.49,$273.55,1.00,SELL,Fairly valued (Hold) - 2.7% from intrinsic value
2026-01-12,Mastercard Incorporated,MA,$565.47,$337.17,-40.4%,$537.20,$593.74,1.00,SELL,Overvalued (Strong Sell) - 40.4% above intrinsic value
2026-01-12,"PepsiCo, Inc.",PEP,$140.30,$127.90,-8.8%,$133.28,$147.32,1.00,SELL,Fairly valued (Hold) - 8.8% from intrinsic value
2026-01-12,UnitedHealth Group Incorporated,UNH,$337.36,$502.86,49.1%,$303.62,$438.57,3.00,BUY,Undervalued (Strong Buy) - 49.1% below intrinsic value
