date,name,ticker,current_price,intrinsic_value,value_gap_percent,stop_loss,profit_target,risk_reward,action,valuation_signal
2025-07-16,Apple Inc.,AAPL,$209.73,$119.23,-43.2%,$199.25,$220.22,1.00,SELL,Overvalued (Strong Sell) - 43.2% above intrinsic value
2025-07-16,Microsoft Corporation,MSFT,$503.75,$144.13,-71.4%,$478.56,$528.94,1.00,SELL,Overvalued (Strong Sell) - 71.4% above intrinsic value
2025-07-16,Alphabet Inc.,GOOGL,$183.18,$207.61,13.3%,$164.86,$228.37,2.47,BUY,Fairly valued (Hold) - 13.3% from intrinsic value
2025-07-16,"Amazon.com, Inc.",AMZN,$223.47,$66.21,-70.4%,$212.30,$234.64,1.00,SELL,Overvalued (Strong Sell) - 70.4% above intrinsic value
2025-07-16,"Meta Platforms, Inc.",META,$701.90,$475.56,-32.2%,$666.80,$737.00,1.00,SELL,Overvalued (Strong Sell) - 32.2% above intrinsic value
2025-07-16,NVIDIA Corporation,NVDA,$170.20,$55.74,-67.3%,$161.69,$178.71,1.00,SELL,Overvalued (Strong Sell) - 67.3% above intrinsic value
2025-07-16,"Tesla, Inc.",TSLA,$319.97,$20.42,-93.6%,$303.97,$335.97,1.00,SELL,Overvalued (Strong Sell) - 93.6% above intrinsic value
2025-07-16,Visa Inc.,V,$348.52,$232.06,-33.4%,$331.10,$365.95,1.00,SELL,Overvalued (Strong Sell) - 33.4% above intrinsic value
2025-07-16,Walmart Inc.,WMT,$94.82,$32.06,-66.2%,$90.08,$99.56,1.00,SELL,Overvalued (Strong Sell) - 66.2% above intrinsic value
2025-07-16,Johnson & Johnson,JNJ,$164.91,$174.80,6.0%,$148.42,$192.29,1.66,BUY,Fairly valued (Hold) - 6.0% from intrinsic value
2025-07-16,The Procter & Gamble Company,PG,$152.68,$164.14,7.5%,$137.41,$180.56,1.83,BUY,Fairly valued (Hold) - 7.5% from intrinsic value
2025-07-16,The Coca-Cola Company,KO,$69.08,$26.79,-61.2%,$65.63,$72.54,1.00,SELL,Overvalued (Strong Sell) - 61.2% above intrinsic value
2025-07-16,The Walt Disney Company,DIS,$119.45,$89.41,-25.2%,$113.48,$125.42,1.00,SELL,Overvalued (Strong Sell) - 25.2% above intrinsic value
2025-07-16,"Netflix, Inc.",NFLX,$1263.74,$300.54,-76.2%,$1200.55,$1326.93,1.00,SELL,Overvalued (Strong Sell) - 76.2% above intrinsic value
2025-07-16,Adobe Inc.,ADBE,$361.04,$356.93,-1.1%,$342.99,$379.09,1.00,SELL,Fairly valued (Hold) - 1.1% from intrinsic value
2025-07-16,"Cisco Systems, Inc.",CSCO,$67.22,$49.93,-25.7%,$63.85,$70.58,1.00,SELL,Overvalued (Strong Sell) - 25.7% above intrinsic value
2025-07-16,Intel Corporation,INTC,$22.45,$-62.01,-376.3%,$21.32,$23.57,1.00,SELL,Overvalued (Strong Sell) - 376.3% above intrinsic value
2025-07-16,"The Home Depot, Inc.",HD,$356.30,$346.05,-2.9%,$338.49,$374.12,1.00,SELL,Fairly valued (Hold) - 2.9% from intrinsic value
2025-07-16,"Salesforce, Inc.",CRM,$255.75,$248.36,-2.9%,$242.96,$268.54,1.00,SELL,Fairly valued (Hold) - 2.9% from intrinsic value
2025-07-16,Mastercard Incorporated,MA,$551.35,$333.42,-39.5%,$523.78,$578.92,1.00,SELL,Overvalued (Strong Sell) - 39.5% above intrinsic value
2025-07-16,"PepsiCo, Inc.",PEP,$134.43,$127.55,-5.1%,$127.71,$141.15,1.00,SELL,Fairly valued (Hold) - 5.1% from intrinsic value
2025-07-16,UnitedHealth Group Incorporated,UNH,$292.82,$502.14,71.5%,$263.54,$380.67,3.00,BUY,Undervalued (Strong Buy) - 71.5% below intrinsic value
