date,name,ticker,current_price,intrinsic_value,value_gap_percent,stop_loss,profit_target,risk_reward,action,valuation_signal
2025-09-16,Apple Inc.,AAPL,$239.16,$119.99,-49.8%,$227.20,$251.11,1.00,SELL,Overvalued (Strong Sell) - 49.8% above intrinsic value
2025-09-16,Microsoft Corporation,MSFT,$513.46,$139.33,-72.9%,$487.79,$539.13,1.00,SELL,Overvalued (Strong Sell) - 72.9% above intrinsic value
2025-09-16,Alphabet Inc.,GOOGL,$251.05,$207.72,-17.3%,$238.50,$263.60,1.00,SELL,Fairly valued (Hold) - 17.3% from intrinsic value
2025-09-16,"Amazon.com, Inc.",AMZN,$235.19,$65.91,-72.0%,$223.43,$246.95,1.00,SELL,Overvalued (Strong Sell) - 72.0% above intrinsic value
2025-09-16,"Meta Platforms, Inc.",META,$766.92,$476.04,-37.9%,$728.57,$805.27,1.00,SELL,Overvalued (Strong Sell) - 37.9% above intrinsic value
2025-09-16,NVIDIA Corporation,NVDA,$175.04,$55.83,-68.1%,$166.29,$183.80,1.00,SELL,Overvalued (Strong Sell) - 68.1% above intrinsic value
2025-09-16,"Tesla, Inc.",TSLA,$420.24,$20.40,-95.1%,$399.22,$441.25,1.00,SELL,Overvalued (Strong Sell) - 95.1% above intrinsic value
2025-09-16,Visa Inc.,V,$338.19,$233.74,-30.9%,$321.28,$355.09,1.00,SELL,Overvalued (Strong Sell) - 30.9% above intrinsic value
2025-09-16,Walmart Inc.,WMT,$103.39,$32.09,-69.0%,$98.23,$108.56,1.00,SELL,Overvalued (Strong Sell) - 69.0% above intrinsic value
2025-09-16,Johnson & Johnson,JNJ,$177.14,$174.64,-1.4%,$168.28,$186.00,1.00,SELL,Fairly valued (Hold) - 1.4% from intrinsic value
2025-09-16,The Procter & Gamble Company,PG,$157.75,$139.75,-11.4%,$149.86,$165.64,1.00,SELL,Fairly valued (Hold) - 11.4% from intrinsic value
2025-09-16,The Coca-Cola Company,KO,$66.43,$26.80,-59.7%,$63.11,$69.75,1.00,SELL,Overvalued (Strong Sell) - 59.7% above intrinsic value
2025-09-16,The Walt Disney Company,DIS,$114.85,$89.40,-22.2%,$109.11,$120.59,1.00,SELL,Overvalued (Strong Sell) - 22.2% above intrinsic value
2025-09-16,"Netflix, Inc.",NFLX,$1202.01,$301.00,-75.0%,$1141.91,$1262.11,1.00,SELL,Overvalued (Strong Sell) - 75.0% above intrinsic value
2025-09-16,Adobe Inc.,ADBE,$350.35,$356.93,1.9%,$315.32,$392.62,1.21,BUY,Fairly valued (Hold) - 1.9% from intrinsic value
2025-09-16,"Cisco Systems, Inc.",CSCO,$66.92,$65.09,-2.7%,$63.57,$70.26,1.00,SELL,Fairly valued (Hold) - 2.7% from intrinsic value
2025-09-16,Intel Corporation,INTC,$25.05,$-57.91,-331.1%,$23.80,$26.31,1.00,SELL,Overvalued (Strong Sell) - 331.1% above intrinsic value
2025-09-16,"The Home Depot, Inc.",HD,$422.54,$345.89,-18.1%,$401.41,$443.67,1.00,SELL,Fairly valued (Hold) - 18.1% from intrinsic value
2025-09-16,"Salesforce, Inc.",CRM,$240.33,$249.40,3.8%,$216.30,$274.34,1.42,BUY,Fairly valued (Hold) - 3.8% from intrinsic value
2025-09-16,Mastercard Incorporated,MA,$582.42,$334.90,-42.5%,$553.30,$611.55,1.00,SELL,Overvalued (Strong Sell) - 42.5% above intrinsic value
2025-09-16,"PepsiCo, Inc.",PEP,$141.11,$127.73,-9.5%,$134.06,$148.17,1.00,SELL,Fairly valued (Hold) - 9.5% from intrinsic value
2025-09-16,UnitedHealth Group Incorporated,UNH,$342.85,$502.95,46.7%,$308.57,$445.71,3.00,BUY,Undervalued (Strong Buy) - 46.7% below intrinsic value
